# defda88e-16ee-4fa1-a85a-30158ba4697e
3	1	1	14	3
0.0	49.0	42.8
36.3	0.0	32.5
41.8	41.2	0.0
1	2892	1	2
2	1253	1	1
3	1697	1	2
1	37.3	19.2	37351	43830	41508
1	43.3	99.6
1	44.2	54	0	2333	1160
2	44.4	62.2	1478	0	3451
3	44.7	3.3	0	0	4422
4	89.3	5.5	2869	3375	881
5	48	91.3	3047	3054	0
6	41.4	22.7	1065	2470	4250
7	51.8	12.2	0	2783	1606
8	93.3	9.6	4421	928	2046
9	61.8	23	1646	3121	3153
10	25.8	20.1	3248	531	2551
11	2.9	62	2067	4539	0
12	35.8	58.3	4806	0	4465
13	1.1	89.5	0	852	2063
14	30.9	99.1	3790	4566	1519
