# 6d7f72f4-4685-49f8-9c67-a052bde47f56
3	1	1	14	5
0.0	22.8	32.6
12.1	0.0	12.6
11.1	38.2	0.0
1	3757	1	3
2	1701	1	1
3	1468	1	2
4	3698	1	1
5	1021	1	1
1	74.9	43.7	47355	42817	41422
1	24.6	95.5
1	54.7	9.7	1605	3179	513
2	40.3	86.1	0	1008	2101
3	65.2	49.2	1778	2650	2816
4	70.4	92.1	1371	0	0
5	24.8	82.5	2104	0	2524
6	30.9	37.4	2122	3897	0
7	1.1	0.5	0	1622	3136
8	38.8	84.8	0	4816	3919
9	72.4	7.5	2335	0	3172
10	39.2	72.4	3661	2724	0
11	51.3	81	0	1926	3116
12	60.4	1.3	1324	0	2598
13	57.9	93	0	1979	1494
14	2.2	35.3	3511	4970	0
