# 9afe3227-3079-4662-8784-59e7ba8e088e
2	6	2	38	1
0	0
0	0
1	5827	2	1
1	10	10	22651	18132
2	93	11	30920	12856
3	12	88	25097	15332
4	97	81	32738	25889
5	7	9	73049	51456
6	91	2	0	0
1	12	16
2	97	23
1	14	25	710	2165
2	23	29	4310	4662
3	9	42	0	255
4	14	39	0	4494
5	13	24	0	4223
6	15	31	928	5265
7	20	32	225	778
8	20	30	5315	565
9	27	36	929	0
10	43	44	1766	0
11	41	33	5686	0
12	25	50	5497	520
13	54	46	0	1626
14	50	42	2854	654
15	35	47	1065	586
16	46	35	1785	265
17	52	42	293	4492
18	35	53	0	518
19	50	39	560	4740
20	46	56	1820	0
21	62	53	4256	0
22	41	51	4030	5523
23	57	48	528	0
24	51	46	0	4190
25	44	54	5553	0
26	83	66	0	1813
27	77	56	3143	0
28	64	66	0	160
29	73	54	3313	0
30	82	49	856	0
31	69	52	2583	0
32	81	75	4041	5330
33	86	63	254	308
34	74	66	0	1232
35	92	69	1868	2060
36	91	77	4694	2642
37	95	76	5827	0
38	84	83	267	0
