# d84e26ef-1392-410d-a344-5b7f1302f703
3	8	5	11	3
0	0	0
0	0	0
0	0	0
1	15247	1	2
2	9692	3	2
3	19619	2	3
1	6	9	2268	3252	9294
2	95	13	3153	2713	8025
3	11	94	2686	3384	9149
4	79	89	3818	6360	8869
5	7	12	6952	4335	17785
6	87	11	5342	5060	23312
7	14	86	9281	14442	21201
8	95	80	0	0	0
1	14	17
2	91	12
3	4	94
4	77	72
5	22	14
1	23	28	0	1477	0
2	23	40	2214	2884	2931
3	16	34	0	3024	0
4	23	44	3264	3676	3486
5	52	54	1679	0	37903
6	47	44	0	0	1407
7	58	61	3404	1237	2316
8	67	52	0	0	1342
9	72	47	3666	0	2057
10	80	82	2514	3491	0
11	90	85	1214	3931	0
