# 447b21d8-807a-4aaa-a7c7-31c953425f09
3	7	3	19	6
0	0	0
0	0	0
0	0	0
1	8073	3	2
2	16256	1	2
3	10336	1	2
4	20963	3	2
5	6279	1	2
6	8697	3	2
1	13	5	6890	6787	9947
2	94	6	6530	9182	13012
3	9	90	11687	10092	9832
4	94	90	14520	18116	20332
5	5	11	26535	29927	23136
6	96	9	38026	45319	29176
7	5	95	0	0	0
1	5	0
2	91	7
3	15	89
1	20	30	0	0	8801
2	15	30	0	5931	0
3	19	23	7193	0	6819
4	29	29	5162	7844	4426
5	38	39	4269	5160	0
6	33	40	6443	0	0
7	20	47	0	6344	7354
8	47	43	0	0	5518
9	47	48	4768	0	0
10	42	41	8709	0	5503
11	66	71	8720	7326	0
12	62	53	0	4635	5761
13	57	60	0	8029	4610
14	61	61	4786	0	0
15	82	79	0	0	5098
16	61	74	0	6043	7118
17	92	65	0	8189	0
18	85	66	0	5387	0
19	96	86	8514	0	0
