# 17d6526c-3f9f-4e29-a6bb-49dd7e035de3
4	3	2	14	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	21567	2	1
2	10811	2	1
3	2848	1	2
4	3016	1	2
1	9	6	12119	29846	8727	16425
2	93	5	21132	20511	11899	14580
3	12	90	13408	17406	14843	10646
1	13	10
2	100	9
1	37	89	3667	3047	1624	667
2	36	77	3052	5108	286	2633
3	27	50	3825	402	5399	0
4	32	100	610	3869	447	646
5	45	36	812	5296	0	1168
6	20	78	1575	5221	8713	0
7	83	92	328	2244	738	8302
8	31	69	215	0	0	164
9	42	83	7893	807	2874	4051
10	26	46	3541	7870	895	5303
11	18	100	2901	5456	292	4246
12	28	54	1883	0	990	410
13	68	86	0	7847	2430	375
14	82	69	2175	0	0	1026
