# f60cbce8-bbfb-4169-bfbd-475b51888ab3
2	8	3	25	5
0	0
0	0
1	3916	2	1
2	1242	1	1
3	3837	3	1
4	1318	2	1
5	1779	2	1
1	56	58	1636	949
2	11	69	2200	608
3	37	21	2777	845
4	33	47	3565	1097
5	6	28	3759	1108
6	12	77	6704	2450
7	88	10	6218	3087
8	32	69	0	0
1	48	46
2	52	78
3	49	77
1	35	90	507	0
2	51	36	462	267
3	61	90	112	0
4	34	34	944	283
5	67	46	553	821
6	8	3	896	0
7	0	99	446	0
8	38	44	154	0
9	88	44	774	0
10	0	75	887	0
11	61	91	380	0
12	64	93	0	548
13	72	19	0	261
14	82	47	709	804
15	50	2	831	0
16	47	15	1000	412
17	80	44	762	294
18	56	10	608	0
19	46	31	133	0
20	8	69	668	955
21	14	69	0	465
22	77	29	752	0
23	47	52	891	0
24	45	1	418	251
25	92	49	329	0
