# 640b8720-3e51-4a3f-8c4b-d5b62c2cdccd
6	3	5	14	7
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1	22747	1	3
2	15587	4	3
3	16201	4	2
4	21894	3	4
5	22508	2	5
6	20719	5	4
7	12254	2	1
1	11	38	8110	3089	82593	80936	91816	21391
2	95	85	9663	3469	100034	56906	141420	32900
3	50	87	1114	1083	0	46062	118727	26318
1	35	88
2	99	93
3	82	31
4	26	67
5	65	43
1	31	42	3031	0	0	0	1178	0
2	44	26	1856	0	131910	0	0	0
3	71	21	0	0	1262	1748	1637	2034
4	73	85	0	0	0	0	1796	1725
5	2	79	2985	0	0	2906	3341	51736
6	93	75	0	1098	0	0	0	0
7	0	61	3850	0	0	1807	2739	0
8	86	55	2174	1127	3171	2702	1652	3468
9	26	38	0	2774	2590	0	2296	0
10	78	56	0	0	1865	131910	131910	0
11	55	13	1212	0	2728	3094	0	0
12	82	55	0	0	0	1695	1916	0
13	52	48	0	0	0	1245	1165	2486
14	58	100	0	1113	1678	0	131910	3031
