# 5b23f045-a28c-4419-957f-9ee51e06aa7f
3	7	2	29	8
0	0	0
0	0	0
0	0	0
1	3336	2	3
2	1873	2	2
3	1612	1	2
4	1574	2	3
5	2291	1	3
6	1655	2	3
7	1221	2	1
8	1545	1	1
1	9	9	5826	5025	4662
2	99	70	12749	11937	6940
3	30	27	12629	8832	5529
4	47	46	13578	8087	7463
5	27	14	26545	18303	15674
6	82	64	33826	22530	19700
7	28	54	0	0	0
1	99	69
2	13	52
1	85	89	2193	0	0
2	72	37	1255	1629	1517
3	21	92	0	1866	0
4	68	93	2492	2608	0
5	47	89	0	3171	1291
6	69	16	2434	1476	1324
7	43	35	2464	0	3286
8	40	77	2405	0	0
9	20	26	0	1610	0
10	13	74	1817	0	0
11	22	78	0	3399	1979
12	5	62	0	3413	0
13	55	81	3211	0	0
14	78	19	3489	2583	1650
15	44	62	1710	3556	0
16	57	24	2062	3754	0
17	66	63	3555	0	0
18	10	78	0	2482	0
19	75	39	2740	0	0
20	58	17	0	0	3092
21	84	98	0	1015	3966
22	68	53	1712	3137	0
23	11	93	2960	2120	3966
24	33	63	3057	0	1765
25	1	11	3698	0	1109
26	50	53	1917	1752	3727
27	5	35	0	3596	0
28	56	8	3685	2012	1973
29	99	95	3005	0	0
