# b3505d2e-c6f3-4ed7-84d4-3a2520cfd3fe
3	1	4	33	7
83	8735	1502
1197	113	12376
3041	1844	100
1	10339	4	2
2	12521	3	1
3	7146	4	3
4	2917	4	2
5	18248	4	1
6	4398	1	2
7	23745	4	1
1	36	56	18110	19174	128631
1	51	93
2	26	2
3	83	59
4	9	1
1	34	66	861	864	0
2	74	17	610	983	357
3	0	98	885	0	0
4	66	58	408	695	467
5	84	54	410	682	617
6	2	71	0	416	713
7	19	50	519	664	977
8	20	54	719	903	739
9	10	23	543	612	323
10	16	65	759	115	30099
11	34	94	608	432	328
12	24	30	628	324	0
13	69	6	0	565	637
14	32	69	631	580	215
15	50	41	540	292	943
16	57	51	370	514	114
17	35	59	647	296	79314
18	83	41	781	462	538
19	77	65	608	737	0
20	46	46	803	176	649
21	0	17	794	662	851
22	66	4	467	654	339
23	17	27	765	649	404
24	88	28	793	524	967
25	34	76	644	963	239
26	52	89	118	801	0
27	92	98	0	455	0
28	60	70	346	438	903
29	86	34	581	720	317
30	2	5	144	979	559
31	57	1	478	454	807
32	21	56	591	386	273
33	70	42	263	335	294
