# ad771f37-e7f1-4f2d-97f3-41797fcf4ef7
3	7	2	42	1
63	8141	10830
14593	147	1444
1701	5711	42
1	8407	2	2
1	3	9	23011	21857	23559
2	86	15	16257	37750	22383
3	14	84	18469	24961	22292
4	82	89	23620	56041	35559
5	1	14	42325	50019	52486
6	95	8	59085	98607	44723
7	13	94	0	0	0
1	4	12
2	84	14
1	58	79	0	0	6645
2	31	89	0	0	6966
3	99	58	0	6295	0
4	24	56	6506	0	0
5	66	19	5923	6371	5968
6	41	58	0	6106	0
7	60	6	8294	0	6255
8	38	80	5897	7184	6962
9	13	72	0	5842	0
10	70	81	5829	0	0
11	73	50	0	4107	8122
12	85	75	7547	0	8293
13	88	22	0	7188	0
14	89	93	0	5400	0
15	66	7	0	6306	0
16	71	55	7694	8373	0
17	64	83	5830	8298	4159
18	27	81	5276	7544	5534
19	78	1	0	0	8011
20	90	90	0	0	4128
21	98	64	0	4647	0
22	18	96	0	0	4934
23	92	0	4360	7766	0
24	23	89	7291	6977	0
25	76	62	4399	4808	4249
26	91	14	7458	0	0
27	76	9	0	8174	4589
28	62	68	4151	0	0
29	85	86	0	0	5040
30	89	80	0	6201	6090
31	93	28	6068	0	0
32	30	86	4724	6455	0
33	85	68	5812	0	0
34	75	68	0	0	4009
35	76	99	0	7330	0
36	52	81	0	7344	4168
37	46	35	7884	7517	0
38	77	61	6904	4984	8325
39	24	76	0	7771	0
40	88	3	7433	0	0
41	79	88	0	7963	0
42	61	17	6137	0	4651
