# 6a4b21ff-4f2a-4d3b-8eab-f7d35b860d68
2	8	5	45	3
106	2396
2248	87
1	2783	1	1
2	1437	5	2
3	17085	2	1
1	8	19	2469	2429
2	86	11	2564	2095
3	15	97	1722	2675
4	87	84	3541	2215
5	12	19	4995	3564
6	93	14	6964	4950
7	11	84	7119	8397
8	89	97	0	0
1	10	28
2	77	4
3	24	97
4	84	90
5	7	28
1	11	31	0	446
2	21	37	967	0
3	2	33	0	691
4	14	24	550	746
5	13	25	0	976
6	19	26	729	0
7	6	40	0	732
8	22	34	457	674
9	12	45	255	0
10	33	29	916	0
11	34	54	238	0
12	43	23	222	951
13	23	33	0	155
14	33	48	0	109
15	44	45	0	803
16	38	24	813	0
17	33	33	0	415
18	53	49	0	116
19	22	45	876	0
20	41	57	395	845
21	51	50	344	0
22	39	59	944	253
23	50	65	821	313
24	57	42	0	383
25	45	52	546	0
26	48	46	0	424
27	66	47	252	146
28	70	58	0	666
29	57	59	536	106
30	62	61	0	623
31	55	69	588	0
32	55	67	0	917
33	66	61	206	202
34	61	49	0	315
35	75	64	813	0
36	77	45	162	0
37	67	78	138	0
38	72	60	345	0
39	84	54	698	224
40	90	77	393	0
41	88	69	575	0
42	89	77	849	773
43	91	84	0	433
44	81	72	324	0
45	84	84	381	328
