# be931337-aeeb-47ca-ac0d-6a34db328301
6	1	2	21	8
95	2594	3377	3253	3179	2563
2028	97	2118	1872	1215	1432
2101	1042	71	1634	1308	1391
1017	2895	1979	144	1433	2198
2134	2335	1068	3162	26	3400
1947	3199	1496	3372	1830	66
1	20267	2	2
2	2087	2	3
3	8622	2	5
4	10992	1	2
5	22756	1	4
6	6695	2	6
7	18717	1	2
8	19659	1	5
1	14	55	223357	70210	77410	220516	179773	70405
1	5	63
2	88	87
1	59	51	2437	3253	3530	0	1323	3721
2	33	34	3709	3964	2992	0	2915	1062
3	62	55	2323	2550	1007	0	3074	1798
4	5	55	1129	3906	2635	1342	3597	0
5	91	48	0	2090	3765	3986	3043	2429
6	71	16	3629	0	3562	1567	1008	1585
7	76	31	2209	1589	2753	2744	0	1943
8	95	46	2914	1661	1121	3857	0	2997
9	78	6	2614	1749	2201	2408	3345	1086
10	13	100	1026	3193	3727	3666	0	3826
11	35	59	109795	1863	3608	2345	2718	2445
12	89	31	1086	1894	2812	1894	2884	2465
13	85	45	2587	0	1651	1583	1383	1938
14	58	16	1222	0	3758	1171	1077	1535
15	6	35	0	1211	2836	2677	3487	1015
16	11	95	1423	3540	2122	0	3098	3909
17	18	65	1820	3186	0	0	3202	2441
18	50	59	3081	3802	0	1445	1930	1110
19	74	65	2680	3553	1695	1200	3158	2398
20	86	71	0	0	1774	2151	1022	2968
21	19	76	0	2790	2941	109795	74992	3250
