# 9a5c4775-3890-48ab-aef6-ac05094b54de
5	8	4	15	4
97	8946	8059	10761	8089
12260	145	14982	8195	11512
8258	9034	92	8431	6151
4967	14286	6025	110	13116
5406	9368	12682	11165	114
1	3096	4	1
2	3521	2	4
3	2055	4	4
4	1035	3	1
1	48	76	3339	6341	4121	2860	3314
2	49	100	4583	4174	7017	1835	5278
3	89	37	8981	4419	6996	4375	5997
4	39	58	11283	7054	5709	3309	5568
5	42	51	13045	6265	6794	3979	8744
6	94	96	14088	9248	9881	5716	8704
7	90	28	25883	15991	16278	11941	12723
8	95	49	0	0	0	0	0
1	82	38
2	96	10
3	58	58
4	79	63
1	19	67	3328	2256	0	0	3669
2	99	75	3134	2728	0	0	1208
3	70	38	2460	2795	0	0	1031
4	12	41	3382	0	1926	0	0
5	25	19	2615	3088	2219	0	0
6	73	27	1653	2332	0	0	3970
7	7	3	2801	2591	3635	0	3704
8	36	30	0	0	1148	0	0
9	12	31	1735	1627	3507	0	1674
10	63	82	0	2395	3983	3316	2898
11	21	89	1683	1941	3209	3651	0
12	49	80	2750	3073	0	1176	3493
13	25	11	3401	0	3727	2928	1721
14	51	62	0	2625	2069	2495	0
15	11	64	2613	1881	2338	1417	0
