# 15df6bc5-c0b7-410f-a051-011d1fe7e001
2	7	3	20	10
56	5582
13418	76
1	7924	3	1
2	8899	3	2
3	8152	3	1
4	8785	3	2
5	8697	1	1
6	9756	2	2
7	7108	2	2
8	4930	1	1
9	5693	3	2
10	7057	2	2
1	22	66	4219	11973
2	9	13	8909	7603
3	36	6	5198	15991
4	58	60	12415	17251
5	78	3	18763	14595
6	62	24	18590	32205
7	18	59	0	0
1	54	96
2	52	96
3	58	15
1	32	72	416	668
2	83	54	304	0
3	68	3	791	0
4	47	4	0	4884
5	25	45	8943	3359
6	21	20	378	725
7	33	61	1908	0
8	20	70	2508	0
9	88	91	0	5854
10	52	30	5630	0
11	26	96	0	7631
12	97	89	998	3262
13	7	36	2596	2616
14	42	47	0	6388
15	10	35	0	8605
16	26	25	0	4509
17	8	26	0	2572
18	89	17	7662	6071
19	37	88	8192	958
20	81	58	132	0
