# e147b690-72b8-4074-bb9b-7aca6acdd285
4	6	5	34	6
123	1877	1673	9167
3097	101	9201	13397
13041	13812	47	3112
3151	2188	11360	68
1	6401	3	2
2	7823	3	1
3	7297	2	4
4	9700	3	2
5	4045	1	2
6	7237	1	1
1	10	6	26782	16263	23062	19675
2	92	20	19726	31657	30372	25624
3	8	97	32278	38501	43198	19189
4	96	87	28460	41482	26189	29391
5	6	9	78343	59679	75309	57527
6	90	13	0	0	0	0
1	5	1
2	79	21
3	10	100
4	100	82
5	3	8
1	19	19	1578	1670	3706	1295
2	8	10	1540	2855	1817	1048
3	21	34	3483	2774	2909	0
4	26	25	2467	1559	1605	3579
5	28	32	0	1515	0	1012
6	30	40	1155	0	3872	2305
7	25	28	0	3287	1121	2111
8	38	49	1733	3423	0	2893
9	27	47	3050	1211	3484	1539
10	27	34	0	1201	2066	2132
11	25	32	2823	1938	1061	2319
12	43	51	2463	3005	3247	2439
13	28	45	2780	2686	1273	3453
14	51	47	1602	3678	2338	0
15	42	43	3661	3216	3379	3822
16	49	46	2705	1489	2687	3225
17	35	56	3176	3247	2047	2307
18	62	42	0	3911	1158	1491
19	45	46	1726	0	3515	0
20	47	66	2041	3932	3477	0
21	60	49	2530	1124	1959	0
22	48	60	2849	1337	0	1546
23	50	36	3308	3716	2164	2123
24	61	71	2870	1716	3970	0
25	66	58	2090	2706	2887	3481
26	74	61	2953	0	2262	1673
27	66	73	2279	3506	1176	3224
28	66	60	1897	3782	0	3643
29	73	60	2533	1561	0	2140
30	87	73	2779	1218	1394	2256
31	81	70	1669	1946	3069	1561
32	92	77	3152	3591	3530	1677
33	100	67	3411	3102	2823	1390
34	100	78	0	3250	2674	0
