# 6f7770b6-1c19-406a-a722-add393555900
4	5	2	39	19
0.0	73.4	41.7	81.2
67.8	0.0	97.5	60.4
32.8	48.0	0.0	64.2
76.0	45.1	75.3	0.0
1	27578	2	3
2	15864	1	4
3	23396	1	1
4	30721	1	1
5	36693	1	1
6	29365	2	2
7	15926	2	2
8	17676	1	3
9	31796	1	4
10	30398	2	1
11	14624	1	2
12	14022	2	2
13	19882	1	3
14	14834	1	2
15	12776	2	4
16	17768	2	2
17	28499	2	3
18	30676	2	2
19	32628	1	2
1	490.3	89.2	161131	101572	125621	140684
2	85.2	448.3	156034	70344	147225	135971
3	407.9	134.9	105636	74250	109473	136919
4	234	380.2	87152	90658	88351	148380
5	442.8	144.4	154745	66540	138480	109543
1	135.8	491.5
2	182.6	74.2
1	413.4	359.7	11779	0	0	0
2	431.5	318.3	0	0	17424	0
3	411.6	135.6	0	0	15006	4964
4	254.7	83.9	10283	5241	0	22515
5	143.8	485.3	21943	0	0	11419
6	361.2	68.5	0	21657	4186	1882
7	327.5	0.7	23582	8208	10917	23219
8	242.3	163.3	13124	0	12185	24681
9	70.9	182.2	16334	0	0	14995
10	84.8	82.4	0	3488	3521	13591
11	305.1	43.2	18660	4153	2730	0
12	267.6	32.1	1924	23066	21308	0
13	23.3	97.1	0	0	19100	7707
14	273.6	131	8245	8083	0	0
15	357.5	433.6	19759	11574	22603	9070
16	356.6	362.6	0	0	4202	0
17	167.1	474.5	7705	0	0	0
18	445	308.4	14836	4834	0	7550
19	132.5	54.5	5777	11690	0	4007
20	332.5	483	2545	17900	0	24705
21	251.1	50.7	13072	6123	0	4267
22	146.8	119.5	0	0	11141	6915
23	21.1	364.2	15989	0	15266	14950
24	370.2	268.7	0	0	1799	17297
25	91.2	121.6	558	1014	4702	14614
26	366.4	484.6	15562	0	8893	5344
27	456.3	83.8	23482	0	20958	6174
28	72.3	470.4	0	20136	24601	19185
29	371.1	44.1	20926	22243	9338	11124
30	153.9	1	0	5184	0	12792
31	275.5	428.7	5348	1235	5170	24253
32	475.3	179.6	13938	0	4804	23855
33	155.1	375.5	0	0	11664	0
34	96.8	63.2	9831	0	8270	10344
35	162.6	313.7	0	6954	1022	4545
36	48.3	233.4	13094	12512	0	23290
37	170.6	301.3	21461	11970	23191	0
38	116.8	5.4	15367	0	23198	24470
39	271.7	326.7	0	21983	15888	0
