# f152c2e1-4205-4264-95a7-6ebcbb9d4cf8
7	4	2	41	14
0.0	19.0	79.3	12.5	88.2	93.2	35.6
99.6	0.0	24.8	93.1	85.2	77.3	80.0
37.2	60.9	0.0	32.0	97.6	41.8	40.6
26.8	97.8	93.0	0.0	78.9	15.0	68.2
13.2	89.2	28.1	48.9	0.0	45.0	12.9
37.7	30.3	15.8	59.9	50.7	0.0	95.3
61.6	73.2	77.3	21.7	75.9	57.6	0.0
1	12220	2	2
2	27258	2	7
3	20181	2	5
4	20373	2	3
5	27734	2	6
6	11098	1	3
7	25243	2	6
8	18539	2	2
9	16968	1	1
10	17659	1	3
11	21823	1	4
12	29103	2	1
13	25711	2	1
14	35553	2	6
1	134.6	49.8	207349	166900	164060	167091	167631	160897	211034
2	340.6	161	199466	165840	101365	160716	182311	148104	193568
3	15	446.2	200248	200356	125780	163644	200416	190142	121669
4	253.8	0.2	114715	151003	169363	173615	109194	174081	134608
1	53.5	85.3
2	413.9	340.7
1	244.5	243.7	19532	0	0	0	10656	13840	15095
2	286	221.6	7769	9089	19342	19454	13903	18234	21022
3	251.2	115.1	0	15365	11103	1282	4579	8715	15053
4	314.9	342.5	23316	5251	17302	19011	9524	0	7403
5	409.3	304.6	17866	19572	4918	18957	0	0	5158
6	24.6	340.2	21005	0	21582	18069	1182	20976	15230
7	26.4	427.2	11880	8271	20265	24832	23950	11111	12323
8	252.8	451.5	18583	12924	2860	18380	8867	17144	1962
9	392.6	273	6526	22615	857	15411	0	0	19487
10	99.9	260.2	7537	678	0	2782	1550	10240	9452
11	418.3	387.7	0	6356	13203	14661	2104	0	14096
12	360.8	133.7	18683	1166	7865	14137	23088	11960	1023
13	432.4	430.1	0	0	17403	17329	7397	4379	20076
14	434.5	465.5	0	8438	21311	0	16195	2875	17815
15	442.6	254.7	0	14707	9976	2321	19104	15815	0
16	312.8	112.4	5208	19682	5624	8662	0	0	0
17	318.8	251.7	23267	13002	11269	6057	0	8154	8500
18	418.9	323.7	0	11534	0	0	5638	0	6658
19	400.5	288.1	4281	0	15933	21749	24964	4206	0
20	184.6	382.3	0	0	22099	0	0	12874	8377
21	247.6	175	0	23580	0	0	22106	16580	20679
22	359.3	218.5	24546	0	5566	23015	12512	0	0
23	16.3	115.4	0	23138	0	12977	18787	0	8029
24	352.7	493.2	12156	12703	0	0	22140	15051	2573
25	111.1	106.3	0	12982	0	2901	0	0	15871
26	349.6	488.2	0	0	0	0	0	5434	13390
27	43.5	470.7	0	23767	0	24018	6640	15627	12178
28	439.9	384.9	23983	18765	0	16997	1305	0	0
29	261.3	165.4	9696	19991	14909	0	0	4341	12950
30	455.9	298	24824	7380	0	2761	8104	13018	8219
31	350.3	104.7	7563	4291	18188	607	17020	22100	0
32	153.8	215.4	0	18305	15520	11136	0	9651	8277
33	148.8	407.7	18753	15143	3924	12899	5304	0	0
34	411	43.6	0	20700	9963	14769	0	0	4852
35	70.4	438.5	24567	13140	4400	0	2184	1013	10146
36	345.4	48.1	20920	746	16958	8074	19280	880	11790
37	200	330	3104	0	503	0	0	0	0
38	304.7	110	0	0	1263	18152	11051	16548	0
39	204.8	397.8	21402	17632	10303	13703	6600	20579	22934
40	422.6	138.3	0	23934	0	0	0	14555	0
41	440	19	0	0	6317	9054	19904	16545	13264
