# 199fec51-e573-472f-b96b-5165a5c126ec
4	3	2	31	19
0.0	19.4	99.8	60.3
64.5	0.0	14.7	16.3
79.3	14.7	0.0	79.0
83.1	97.2	21.8	0.0
1	16035	2	2
2	25162	1	1
3	17393	2	4
4	34850	1	4
5	26558	1	2
6	26229	1	4
7	22482	1	3
8	28432	1	1
9	19403	2	1
10	30547	2	4
11	11088	1	3
12	24800	2	1
13	16935	1	2
14	15647	1	3
15	15600	2	2
16	34771	2	1
17	14089	1	3
18	13282	1	3
19	23181	2	1
1	361.8	162.6	110349	110494	132935	184670
2	437.8	108.6	183940	206528	93261	140492
3	18	184.8	144546	136172	168242	119172
1	264	317.5
2	171.1	343.5
1	231.4	307.4	0	0	0	9743
2	133.9	353.4	0	20344	3577	0
3	34.1	39.2	14106	10470	0	23816
4	470	154.2	0	0	17393	1588
5	99.1	233.9	21121	0	19347	8203
6	233.7	117.9	11532	16330	0	9285
7	331.4	370.8	11237	20497	0	24169
8	35.9	155.8	0	0	0	18419
9	227.5	303.2	15347	3862	4144	20557
10	379.1	15.5	0	6809	0	19518
11	349.6	120	22307	18020	0	0
12	8.8	136.6	6122	0	19748	11456
13	377.9	206.8	4032	14728	0	0
14	67.9	213.8	12608	12589	15689	0
15	380	325.9	0	1122	2757	2496
16	493	251.3	7437	0	7582	18777
17	39.6	449.4	10012	0	13412	3275
18	408.2	413.6	18958	4067	0	0
19	152.7	304.4	11083	2034	12986	0
20	183.4	357.7	9056	13567	8387	9015
21	433.4	317	5758	23270	21960	1155
22	265.6	248.6	0	15282	2824	6522
23	24	280.9	0	0	19257	0
24	223.1	334.6	10714	18719	15130	24768
25	372.7	255.2	23679	24186	0	23236
26	393.2	376.4	7496	1538	0	19582
27	189.3	385.8	0	6164	16444	0
28	72.1	138.7	14796	6179	13311	0
29	281.5	163.2	0	8171	0	0
30	457.5	352.5	0	16279	4972	21804
31	463.1	12.3	12028	6631	0	0
