# 02395a3c-567d-4fbf-8f12-9069e48a3368
7	5	3	41	13
0.0	80.7	61.2	27.6	51.3	85.9	26.1
32.2	0.0	35.7	31.7	98.0	50.4	13.6
75.0	44.9	0.0	63.1	12.5	45.1	91.0
59.4	50.2	79.6	0.0	90.3	84.4	24.2
62.3	33.3	84.4	54.3	0.0	50.9	72.4
96.3	28.6	69.1	78.5	10.9	0.0	96.6
59.8	11.5	65.2	48.3	86.8	54.7	0.0
1	30437	3	5
2	33668	2	7
3	38789	2	7
4	10525	3	6
5	17689	3	6
6	16502	1	7
7	28806	2	3
8	11369	1	7
9	12657	2	4
10	16210	3	4
11	18165	1	4
12	25724	3	5
13	38201	3	1
1	45.5	8.8	103895	126371	88798	163547	169432	102615	114204
2	288.9	344.8	78304	101632	99250	106513	167192	129383	137665
3	23.5	181.6	144241	132166	169083	115734	109965	102945	139757
4	331.2	390	134193	108890	125549	141937	150947	176414	97427
5	2.8	418.1	75346	105143	106718	159448	108751	131260	157488
1	432.3	30.1
2	394.6	59.6
3	142.6	153.4
1	210	125.1	19407	8413	21416	0	9931	2667	20817
2	285.9	195.7	0	10629	0	17237	16339	15487	6736
3	152.2	497	4463	4023	11533	6125	2080	0	19430
4	47.1	398.9	0	0	0	22019	22885	0	0
5	485.3	33.2	19583	0	1460	14586	0	1666	0
6	359	306.5	14594	0	14513	18578	0	0	9456
7	56.9	53.4	998	1669	12344	9702	6269	17726	0
8	157.9	233.6	14780	0	22417	8121	6732	19168	23819
9	426.8	117.2	4421	22776	5191	0	0	0	22585
10	289.5	149.8	8693	19725	15888	20127	24099	1519	14642
11	77.6	413.8	2810	0	10708	19651	18148	6449	22382
12	482.4	314.4	562	9385	0	0	10645	0	0
13	161.4	184.9	10190	1594	6529	9636	3237	15159	4770
14	133.4	428.4	0	2783	19073	12596	0	23357	2481
15	392.4	164.5	0	7101	2701	21210	0	18794	23892
16	229.6	375	5622	7676	0	5142	11625	0	18240
17	252.4	361.8	12640	12312	0	5484	9780	12357	6509
18	304.4	342.5	1670	3415	10486	9292	4472	1127	18973
19	446.4	257.2	0	3840	3623	0	2202	0	20077
20	25.8	151.7	0	18828	9602	21942	7661	1596	1117
21	253.8	261.8	19001	18666	20246	18285	12257	0	0
22	15.3	88.7	6366	0	23534	7037	0	9116	9572
23	139	360.5	13526	5724	0	0	14177	21162	2704
24	228.5	465.3	23683	24506	0	0	10704	15910	5756
25	51.1	391	0	0	0	0	0	17790	18393
26	343.1	193.5	18858	8075	9509	0	19917	24040	0
27	2.5	263.7	12860	20295	4720	0	12379	9854	0
28	486	43.9	18163	0	13571	0	21817	17783	11489
29	341.2	406.1	0	11417	19683	19981	22188	5492	0
30	208.2	60.2	4213	16825	23998	7253	11546	0	2564
31	486.1	18.4	3496	17196	0	4473	16165	22601	0
32	386.2	15	0	7322	12769	20735	5519	13890	21301
33	169.1	318.8	0	0	3388	20183	22062	8721	7662
34	36.6	222.6	16704	0	0	0	13775	16610	12636
35	248.9	255.1	0	24203	10376	0	0	15670	10214
36	357.8	255.4	9835	11392	11339	0	826	0	5926
37	58.5	205.9	12551	3870	18500	0	5734	0	0
38	458	179.4	4842	12018	5486	6334	0	0	6991
39	339.5	492.2	11604	0	7560	2769	17644	8321	7230
40	158.6	226.5	4659	15671	0	8486	0	7166	0
41	60.1	347	0	22704	4142	16616	0	19822	20973
