# 81d498c6-5fe8-46bf-8e26-228ea4b72920
6	4	2	41	11
0.0	82.0	24.7	69.0	48.4	73.6
82.7	0.0	14.2	25.9	17.7	39.1
92.4	21.7	0.0	72.5	49.8	88.8
49.0	75.4	44.6	0.0	67.4	70.7
28.1	63.8	71.8	68.0	0.0	40.5
68.7	66.0	87.8	41.7	47.7	0.0
1	36768	2	4
2	29493	2	3
3	14022	1	5
4	14805	1	5
5	36568	1	5
6	20046	2	2
7	11638	1	4
8	13491	1	6
9	30935	1	6
10	27553	1	5
11	25556	1	3
1	357	420	174155	139037	159083	149902	176090	129354
2	210	286	211681	124215	199691	222564	184948	132672
3	454	68	226267	118178	140755	262498	177642	140799
4	29	327	141419	192538	129899	193865	150157	198200
1.0	366.2	462.4
2.0	134.8	223.4
1	81	88	0	0	9370	24127	0	24526
2	42	134	18299	13172	15680	14981	0	9748
3	399	127	0	14703	19181	21884	24296	11363
4	47	143	16158	0	0	12113	10572	0
5	30	418	14053	6806	0	874	0	5668
6	232	231	23548	17546	2850	8067	16758	0
7	45	157	19983	18632	0	18122	14076	0
8	358	266	0	11450	13722	7319	24582	24740
9	327	474	11603	0	1508	0	0	14648
10	445	28	14871	2758	0	0	0	6190
11	419	240	6291	19185	0	5452	12372	0
12	69	401	24181	527	3211	19645	13511	2681
13	160	152	0	6766	0	17481	0	1030
14	467	287	0	818	7108	18617	13887	24842
15	118	345	20480	16269	20172	0	14354	0
16	418	30	0	20052	10156	8528	15512	0
17	425	360	9789	5368	12913	0	3941	0
18	89	491	3979	0	1213	0	18093	0
19	269	371	20443	0	0	6801	16090	14209
20	412	476	16689	6702	23264	20798	0	14444
21	297	468	1035	0	0	0	6894	2832
22	34	104	16688	22708	24993	21717	5616	8249
23	364	477	0	22744	17859	21514	11826	19109
24	225	208	11691	5634	0	0	3769	1622
25	418	117	13523	21539	0	23649	0	19582
26	106	115	3905	3939	0	20248	0	0
27	179	234	0	22515	0	16812	1958	9525
28	409	70	4927	24835	0	23760	24100	15009
29	85	449	22963	1564	5554	14021	15245	1419
30	110	488	2290	15252	0	17516	0	0
31	279	473	17195	0	20973	24417	15040	16418
32	383	496	9945	0	8780	24925	4128	14776
33	257	270	5973	13094	18052	0	15576	9455
34	325	295	6992	0	17994	11940	16863	22264
35	196	344	22814	0	18568	23936	18586	3505
36	469	100	7073	9588	10762	0	4782	0
37	488	140	0	0	0	0	13874	19865
38	4	476	7565	0	19368	14674	0	1213
39	120	397	11961	7610	13031	0	12091	16246
40	7	267	1053	1440	12738	0	0	10810
41	195	143	0	17955	14828	12637	15136	3713
