# 09d804ff-07bb-4c60-a833-f1d1e7dcf89d
7	3	2	31	13
0.0	85.8	89.7	59.7	85.5	39.2	47.8
35.1	0.0	93.2	15.3	54.8	65.1	42.6
80.3	98.9	0.0	72.0	68.8	74.6	14.9
37.5	96.3	58.6	0.0	20.2	57.3	42.6
69.8	87.2	89.1	39.7	0.0	16.5	72.0
81.7	82.5	51.9	33.8	41.7	0.0	89.8
53.2	60.8	72.1	71.3	85.6	35.6	0.0
1	18668	1	7
2	32708	2	1
3	26156	1	2
4	22928	1	7
5	30668	1	3
6	16457	1	7
7	16202	2	3
8	30828	1	1
9	35722	2	4
10	11707	2	4
11	20195	2	1
12	27057	2	3
13	35314	2	2
1	26	300	174757	192618	154067	127217	141074	146091	92506
2	118	217	110141	193376	217238	150556	206925	127027	153041
3	458	89	181560	185216	166096	105995	137193	151376	102929
1.0	96.9	471.7
2.0	275.3	101.3
1	265	107	11608	16661	19319	1223	0	14228	0
2	220	109	16488	21261	24278	0	2736	17140	0
3	41	264	0	0	0	0	17692	19435	0
4	170	345	0	4811	0	2891	9593	13305	13216
5	457	4	4859	5164	15443	13275	0	15277	7094
6	275	277	1269	0	15426	5254	23099	2471	939
7	82	369	2136	23077	0	19956	15452	0	7312
8	115	277	0	3776	9812	24045	20786	0	19441
9	99	258	17059	1682	3416	0	11097	0	0
10	200	440	0	22727	16291	2379	21161	8481	0
11	8	127	2748	0	6474	16089	12636	8514	0
12	454	443	21132	7516	11242	0	12106	0	21840
13	463	432	3112	16325	22199	0	21791	15866	13978
14	87	116	20764	0	12170	0	0	2788	0
15	397	119	6337	8331	20092	13609	12690	21493	8918
16	496	176	0	24637	22287	3707	0	17573	3099
17	462	493	16090	13461	23037	0	10560	0	0
18	371	344	19896	9500	18458	24625	22902	0	1818
19	37	98	0	12840	1991	3842	16817	11465	0
20	327	411	0	0	0	15788	0	22341	3069
21	351	196	3794	11044	0	0	0	3408	11996
22	163	385	0	0	0	8246	14142	0	0
23	422	181	0	4536	4941	0	0	1154	10773
24	197	71	0	0	0	0	16417	22604	10267
25	117	346	19005	12846	0	18909	3165	18066	0
26	465	2	19318	0	0	11773	19466	598	0
27	3	104	0	12548	17456	14686	10933	8816	18124
28	84	224	13986	21832	0	0	7836	17767	21971
29	88	35	19856	10514	8701	20073	4032	0	10168
30	218	228	2880	7774	0	0	7269	0	11295
31	164	254	7841	10379	0	6482	0	1055	0
