# 876639c1-10a0-4461-865b-f34e31281b46
5	4	2	51	17
0.0	60.2	20.6	46.2	22.4
27.6	0.0	78.9	69.2	26.7
99.6	50.9	0.0	51.6	29.7
25.6	49.6	63.1	0.0	69.6
25.0	49.8	60.4	63.7	0.0
1	10871	2	2
2	21487	1	2
3	30757	1	3
4	24715	2	5
5	22023	1	4
6	19055	2	4
7	20664	1	1
8	31106	1	1
9	33720	2	1
10	19831	1	2
11	38277	1	5
12	34316	2	1
13	35073	2	4
14	39105	2	4
15	31872	2	2
16	38653	2	3
17	14824	1	1
1	416.6	239.7	145560	263475	225542	226114	239208
2	486.6	498.2	155565	160123	206715	333077	211930
3	139.4	42	173153	181544	229718	175404	177640
4	363	72.7	136112	228908	136253	271013	229636
1	71.4	7
2	68.6	0.6
1	287.1	497.4	24984	0	0	21495	19982
2	237	79	13593	21218	12952	3667	7670
3	414	303.8	16646	2886	1261	16555	0
4	339.3	300.5	3874	21034	17066	12864	16414
5	179.4	412.6	0	0	0	0	19730
6	397.7	89.9	0	0	7610	11951	0
7	91.1	296.7	24960	0	15426	0	24201
8	378.7	289.7	0	0	12335	5492	0
9	202.7	229.3	0	17245	0	4931	1705
10	421.4	498	13282	21948	22390	24980	0
11	11	308.4	5892	5608	23349	11048	0
12	85.1	225.2	7429	0	0	12346	14574
13	102.5	494.8	0	10906	0	17684	18574
14	428.7	141.7	4846	20403	6275	15907	12884
15	236.9	340.4	14891	19006	10096	3002	13334
16	236.3	482.6	23553	0	0	18545	0
17	485.9	94	23925	0	14348	15979	0
18	429.2	157.8	4231	0	11351	19400	24627
19	456.8	17.4	10234	16736	0	0	3428
20	151.2	224.2	4142	8303	0	14994	3630
21	44	223.3	0	17233	776	0	20128
22	478.6	63.7	15450	1642	0	2129	19345
23	241.3	196.8	0	0	21817	627	0
24	4.2	269.8	0	14410	11084	5904	19227
25	231.6	420.9	10357	21144	8256	21067	12430
26	163.4	149	3850	10139	23943	0	7803
27	262.7	99.4	23448	19011	8198	0	9701
28	150.4	255.5	0	0	0	11220	0
29	344.2	99.2	12755	0	11802	4694	4435
30	57.7	113.5	0	8090	6297	20301	12222
31	19	294.9	0	0	0	7021	10187
32	153.4	415.5	10982	0	0	12277	22610
33	424.6	291.7	0	0	0	0	24104
34	388.1	499.5	14814	0	4155	2931	20857
35	116.8	77.1	0	8419	7285	23122	0
36	123.6	463.7	13684	14330	19966	14462	0
37	240	341.1	8990	7948	0	24701	24865
38	342.3	398.9	0	24284	21144	22501	12754
39	344.5	321.1	0	0	9262	15777	15149
40	25.5	29.4	16062	17049	10233	19051	9014
41	488.7	225.6	4965	0	0	0	5975
42	165.8	92.3	9674	19455	0	6033	0
43	198.5	70	17517	12643	0	19995	1646
44	180.7	189.5	22236	2450	0	2850	9173
45	291.7	439.8	7796	21089	21811	0	0
46	80.2	484.4	1649	14507	14090	20911	12928
47	10.1	324.5	0	0	5063	15530	0
48	201.8	35.9	0	18876	24581	13325	11509
49	285.7	441.9	19854	1420	0	15792	0
50	358.7	165.5	0	4941	3027	21974	0
51	323.7	194.1	1640	17822	0	24701	14617
