# 6e505ff0-5426-4f36-a3c7-89ea4ebe6055
10	8	4	156	43
0.0	156.9	74.9	126.5	121.3	115.8	144.4	195.7	40.5	35.3
184.2	0.0	91.9	29.9	191.3	67.2	83.3	36.9	185.1	73.5
173.9	154.1	0.0	81.3	20.0	21.2	28.3	86.9	119.8	140.8
153.5	45.5	184.3	0.0	48.1	125.4	66.4	17.7	167.0	54.2
32.4	13.9	96.8	78.2	0.0	198.3	42.9	114.3	196.6	56.3
184.6	126.5	75.6	97.2	145.4	0.0	17.5	126.7	118.4	158.4
44.8	65.5	46.8	150.1	47.2	107.2	0.0	42.1	51.4	132.0
150.6	75.5	160.9	19.8	87.9	149.4	167.0	0.0	93.6	196.6
112.3	57.3	149.3	162.0	118.2	178.8	89.4	132.4	0.0	54.1
70.6	123.8	152.6	18.6	138.0	126.5	187.9	139.6	54.7	0.0
1	71904	3	8
2	72994	2	1
3	47092	4	2
4	21840	3	5
5	21238	1	1
6	40396	2	9
7	37113	3	8
8	34640	2	8
9	49419	4	5
10	67434	1	5
11	12238	1	2
12	65490	2	2
13	56364	1	7
14	71549	1	8
15	28950	3	7
16	34188	3	4
17	33878	1	8
18	45393	2	6
19	54009	2	2
20	65717	3	4
21	74864	3	6
22	12112	4	6
23	69112	4	2
24	59296	2	2
25	30690	3	2
26	42713	4	7
27	77156	3	2
28	55843	1	2
29	68159	4	2
30	23697	1	7
31	18330	2	9
32	11994	1	7
33	42614	2	9
34	74279	3	1
35	72006	3	4
36	38339	1	5
37	79597	4	9
38	36843	2	5
39	63009	2	6
40	59161	1	4
41	69360	3	6
42	53912	2	5
43	59921	3	2
1	707	355	883183	1050156	654493	1267426	956856	839897	1089448	1141196	1310983	1176926
2	1431	1493	985498	771036	868694	1220393	648254	727705	1091780	964691	1288059	998256
3	472	232	1062567	1068661	1079001	667477	812045	1197149	953897	1224153	989004	1074874
4	701	943	1023047	1084330	805415	1086660	1106563	1164360	628610	1197393	830274	793624
5	1206	102	1190304	1065226	1012906	1017242	1094804	607874	718160	661584	992995	1161636
6	1222	818	749703	1110031	924070	1274773	1008838	857522	1081416	1050382	1176863	821387
7	327	347	942786	964607	712329	796736	965569	765998	637183	845658	791595	899160
8	1180	932	1074201	1110664	909158	1187209	1218649	883449	975956	699507	1072102	720210
1.0	1488.0	803.4
2.0	1077.4	1210.3
3.0	839.2	1114.1
4.0	1320.0	1224.3
1	446	1191	71890	37034	58546	32108	43170	19205	17127	38305	21104	0
2	1133	67	63039	58534	57426	13807	12919	6356	62677	54384	26361	0
3	115	1242	29958	22938	0	47867	0	0	27870	51587	43572	7400
4	240	557	24616	36406	22478	32333	0	53491	0	0	0	37057
5	30	433	62464	47265	17167	27279	14541	29294	55280	0	12164	30291
6	1104	1250	0	45492	11113	66446	59867	45870	54321	46919	0	74132
7	132	284	46116	74408	35497	15335	62926	9704	52954	0	0	58986
8	1068	352	40847	0	8072	58554	10423	0	43969	36589	67401	67328
9	693	872	2899	26388	14457	9842	42623	0	43750	50190	0	68272
10	1172	1221	0	0	18938	0	28040	2306	2247	0	51345	62583
11	1156	1346	37047	0	0	42414	0	0	55158	0	62906	30231
12	831	404	60924	72201	0	43199	3721	0	46295	35413	26585	0
13	85	1094	49883	28998	14640	0	61915	0	10829	22166	0	0
14	1030	658	0	0	74743	0	0	12471	44466	0	71268	69106
15	1497	716	39362	16310	981	70464	35939	38505	74831	0	0	25468
16	1218	231	19859	21018	1944	43597	24475	47734	0	69451	53833	37606
17	1318	115	65060	67574	23241	0	0	24983	60756	7525	45237	0
18	976	311	0	56434	31152	9390	63298	0	19768	0	11287	0
19	1398	6	1320	0	23877	48724	51070	23990	0	12715	0	0
20	658	235	70120	27323	20918	1479	54541	51181	37539	2864	0	15280
21	315	1188	0	0	63480	19953	0	65651	17316	42463	62362	50192
22	830	1218	47732	0	0	39393	0	38225	68145	16026	0	10232
23	1408	875	20193	0	74186	14504	0	0	0	9623	26384	0
24	922	1028	14760	40613	0	9210	29064	74386	72336	58079	0	0
25	360	400	17499	30288	63552	0	0	0	14664	65566	18831	74141
26	1084	399	0	70764	0	46156	13601	40215	0	56653	15253	45611
27	1474	809	0	8356	30641	0	49932	11390	66172	0	0	27651
28	1334	300	26048	0	0	0	11027	64710	0	56241	0	50839
29	1488	505	31704	1301	18031	1727	65039	0	18755	44224	23286	32715
30	754	1478	0	32693	7588	0	31029	31259	3665	61231	0	18119
31	842	700	73393	0	45724	19812	48560	4440	47859	0	0	25539
32	117	1023	41964	49295	58192	74501	58490	13957	0	53406	32259	41297
33	1081	515	0	5437	7400	59743	33521	0	0	20442	0	57505
34	707	1397	24902	0	65633	0	44827	27614	42588	27871	49583	31105
35	1157	904	0	50746	62406	0	28972	19443	50459	51460	57183	0
36	954	1265	33502	74058	21965	44451	0	38185	0	33966	0	12220
