# 849339c5-2c62-41ae-adbc-6b04d09b9dc8
11	6	7	107	33
0.0	102.5	42.4	168.1	145.0	158.8	156.6	50.2	126.1	187.3	76.9
79.1	0.0	128.6	53.1	96.9	16.0	107.4	180.6	118.7	43.2	60.2
144.0	189.4	0.0	192.0	154.3	159.7	184.1	17.7	177.3	191.6	122.7
104.9	94.4	116.7	0.0	61.3	32.8	86.0	116.4	131.2	138.0	82.4
12.6	99.5	197.3	156.9	0.0	46.8	59.0	117.2	43.1	115.6	57.5
159.7	78.5	113.5	190.7	96.0	0.0	164.7	73.3	60.0	163.3	71.4
146.5	22.7	58.2	169.0	121.6	181.8	0.0	90.6	104.9	16.8	86.8
146.0	42.1	150.5	32.6	84.7	119.0	118.7	0.0	100.2	118.0	113.9
102.6	155.1	93.3	96.4	155.7	145.6	98.2	44.5	0.0	165.1	12.3
91.8	155.0	58.3	194.3	127.5	120.3	157.1	197.7	119.7	0.0	148.0
83.5	13.9	148.2	176.8	41.2	173.5	139.3	154.5	155.8	199.9	0.0
1	45338	3	1
2	58208	4	5
3	35904	3	3
4	16556	6	6
5	61237	2	8
6	67709	3	3
7	70530	2	9
8	28605	6	1
9	12870	7	10
10	62193	5	10
11	12939	7	5
12	51208	6	5
13	41397	3	5
14	30543	2	2
15	65362	7	2
16	38416	3	5
17	48785	5	7
18	11702	3	11
19	22091	3	11
20	10886	2	3
21	45089	6	2
22	39212	4	7
23	69741	4	6
24	74940	6	1
25	79817	7	7
26	51913	3	3
27	71852	4	5
28	11013	5	3
29	35639	6	5
30	18110	3	1
31	31873	5	9
32	78838	3	10
33	46628	3	6
1	484	1430	1097199	924388	787240	991947	971465	1134025	1178712	780690	747111	1172252	918118
2	959	178	648617	1002390	1059579	987674	627447	957807	681140	684811	781867	849301	934161
3	464	1133	994062	621357	1052356	891195	1145847	684880	1053310	908392	1183765	808197	934173
4	972	1025	846421	578303	933933	831397	771692	888503	879823	1039546	764074	1004302	832597
5	1473	859	554794	933215	1060689	1031493	1148406	1048996	932598	1026948	799313	1060291	766615
6	881	1460	585954	994525	870135	1135001	1012916	1110927	858083	896483	880321	712467	562425
1.0	915.9	78.9
2.0	1099.1	662.8
3.0	92.5	1371.2
4.0	385.1	277.0
5.0	151.5	217.1
6.0	234.4	1258.4
7.0	1036.1	1367.9
1	1046	1486	35347	0	64078	20935	0	73346	0	69182	20720	66319	31997
2	654	28	30624	0	4891	0	0	15381	1369	65458	62498	2423	66619
3	1281	507	0	3501	9687	65233	0	33695	52883	0	8408	48080	21055
4	220	49	29262	40349	20490	0	74223	54016	0	0	50182	12584	39658
5	67	1051	0	65896	8525	71988	0	60091	30399	29565	27417	62717	13956
6	8	96	34296	0	58068	0	0	30794	0	57992	0	0	0
7	541	465	0	45036	9432	13924	0	1094	51735	0	69405	65153	0
8	545	1148	0	45651	50930	8488	0	3257	0	34334	21004	17515	0
9	297	388	34086	0	45194	0	54074	61081	60281	20150	31879	0	31196
10	365	1452	0	10367	51496	39344	0	0	45533	19096	0	30666	27773
11	23	823	0	13245	1873	60453	66335	48717	0	64500	44862	0	0
12	1027	494	31429	16433	0	23187	0	0	67315	0	0	39825	13463
13	1232	88	17040	60168	16893	65346	21953	68493	33154	47766	38279	20852	0
14	1471	1406	0	66247	61228	64041	65372	39614	71327	10106	9435	19400	0
15	658	1263	16774	15258	35784	0	28641	0	0	24256	0	0	0
16	533	446	8558	21357	26348	11976	0	39371	17597	49232	60744	60327	61175
17	480	793	15972	0	29838	0	16608	0	22884	44219	49558	0	69386
18	707	911	13802	38636	7540	15603	66582	51983	1506	27026	0	0	0
19	1444	1442	53860	0	34668	0	73150	28084	4702	54758	58052	74064	0
20	46	1074	23702	49389	20873	56087	62824	61651	61878	0	62896	18762	0
21	517	487	46580	62802	0	64617	38771	66127	0	72960	46603	20712	5062
22	1000	99	2208	0	30511	53891	59383	70834	0	19990	44087	74586	58988
23	622	1422	0	2441	11348	69600	73191	46223	0	0	28444	54910	33131
24	761	1264	30083	24900	27112	62165	68794	47871	0	0	0	30737	0
25	624	262	52282	0	68101	41397	62794	60501	63791	0	40052	2320	4788
26	87	224	70065	35170	47394	68817	70108	35963	65658	9710	24919	0	0
27	1263	374	27215	60914	0	70811	55308	0	25847	53746	27763	8175	6131
28	377	993	54289	0	56823	0	0	62583	21868	55031	31867	26438	12746
29	130	1480	3769	27362	30641	50862	56696	63840	20416	0	51319	51990	24653
30	720	838	20318	51094	31386	0	66566	43934	0	28535	37441	18438	0
31	1239	1252	0	10097	26068	24206	32384	3364	73854	56208	0	0	64223
32	1154	78	68611	0	72934	17876	0	16609	57703	62171	40470	23735	67981
33	429	1105	51071	74459	72117	22414	24237	26411	40782	54873	0	19136	60022
34	1291	713	27326	32384	19301	35635	0	33646	32930	14772	0	57473	50395
35	1286	809	71493	53991	0	72719	0	44088	10865	35864	0	63928	39302
36	893	486	27279	54908	0	0	26073	0	0	0	32382	44916	46967
37	1444	389	72307	26788	56586	4445	28891	23211	0	67821	55118	60454	48907
38	1500	1161	41960	46997	0	37946	43992	34494	11203	40481	70354	67405	19342
39	758	1334	59884	10963	63822	0	37396	64686	44107	0	0	31372	12913
40	813	9	28451	0	0	54566	14414	0	17220	55816	34448	0	0
41	234	327	9370	9952	0	15959	0	0	0	0	18363	39205	0
42	971	564	3614	0	22137	57178	32942	22356	74034	0	0	35805	1612
43	880	1193	9512	0	33119	12316	0	71627	0	74096	0	7376	71302
44	171	175	63591	8884	68694	18268	49641	71106	12870	0	46975	59009	24228
45	1201	1148	43359	0	2646	17956	21303	60692	0	15125	9627	43311	27257
46	1445	252	0	27147	0	61316	29747	0	38245	2090	24690	19034	36876
47	1311	584	8727	6433	34477	0	37432	31910	38660	55414	48781	41754	47689
48	497	921	49684	69181	0	0	26095	40998	0	23657	56924	0	0
49	1023	1229	4628	6223	36472	26605	0	0	34143	0	0	29368	59270
50	1392	946	52702	32062	0	70429	0	0	0	66839	32453	6021	62879
51	228	506	13632	37256	15069	41111	43077	0	57843	38198	64565	72712	74907
52	1457	734	0	31087	2790	0	0	0	53747	0	730	0	22789
53	704	1106	55017	10185	15640	49400	74460	60337	0	52640	0	17865	17249
54	1251	1235	0	48988	0	72473	52901	33246	59302	47356	53285	0	3718
55	736	662	60614	58284	27206	29808	26634	14886	31385	43060	0	0	0
56	204	829	47356	63984	19135	4060	62146	16411	16019	0	0	0	19960
57	385	656	0	43384	63692	0	0	22063	71114	1191	0	5064	33078
58	1132	1208	61988	1461	31389	38193	0	27106	35429	62608	12549	60207	30694
59	974	1111	61434	19128	51155	7113	1139	5838	0	16510	60423	56103	0
60	51	264	0	1802	0	23637	50064	0	16210	10234	47646	30555	65629
61	1328	414	41227	15653	24044	0	18421	41716	5575	0	13974	0	0
