# 1fe4ef17-249f-4643-82c8-2e490f70dec5
9	10	6	110	31
0.0	148.8	160.7	62.5	160.3	145.0	101.7	10.2	129.8
150.2	0.0	148.6	108.3	141.1	109.1	52.1	130.9	35.2
15.6	151.5	0.0	46.0	112.5	37.0	70.3	32.7	167.6
107.1	105.3	160.5	0.0	41.4	76.2	191.4	77.1	151.7
66.7	14.8	21.7	168.2	0.0	35.7	81.0	178.4	169.9
91.4	41.2	94.8	170.9	199.8	0.0	140.6	10.4	172.2
164.7	133.1	20.0	114.7	179.5	193.4	0.0	83.3	15.1
180.3	28.3	22.9	45.3	76.9	43.3	138.3	0.0	54.1
122.9	23.1	10.6	166.1	108.6	140.0	11.5	158.7	0.0
1	46811	4	6
2	38360	3	6
3	31229	2	1
4	18150	5	8
5	52854	3	6
6	34379	4	6
7	31432	5	7
8	62123	5	7
9	39971	3	3
10	74457	5	5
11	16678	3	3
12	63010	6	9
13	63450	1	5
14	44169	3	6
15	25727	2	8
16	23925	3	9
17	55905	1	3
18	49437	6	2
19	39954	2	4
20	44276	5	5
21	13712	2	1
22	14595	4	6
23	21714	6	3
24	29720	5	1
25	53227	1	6
26	71696	1	1
27	61633	5	2
28	72186	3	9
29	49189	4	7
30	20070	3	5
31	68302	1	1
1	1107.7	442	509989	384717	419795	630611	741471	331586	701780	499173	428133
2	1099.9	130.7	335676	470211	531243	650074	773301	344608	677775	451848	372756
3	710.7	991.4	379128	438205	526011	652266	552353	461123	458426	459040	450899
4	703.8	749.4	443023	552602	565021	507378	634555	344193	502936	490293	382200
5	232.9	711.1	546555	476547	419542	568154	654763	549916	370398	596616	520488
6	672.9	141.7	524642	606940	554693	580005	533680	457161	525312	537301	378514
7	895.2	1065.3	522477	400393	495303	594430	737745	461398	720858	438949	700969
8	1179.8	352.7	397276	459521	559287	427933	462783	583538	521506	568122	550653
9	558.5	1225.3	442689	411088	491346	572849	411309	365522	613470	656046	639200
10	1339.6	216.5	412647	400494	459262	629911	437365	484367	587176	386705	419973
1	539.9	1025.1
2	204.4	1029.8
3	353.9	66.6
4	223.8	1396.3
5	674.3	1194.5
6	447.5	818.9
1	517.3	1058.1	9063	12403	30537	10629	0	0	38073	18243	60635
2	1096.6	347.8	35158	21497	33596	29159	48358	2092	5008	50769	0
3	170.2	248	19781	0	16797	0	66803	68166	0	57009	0
4	28.7	675.8	11823	17215	56193	32643	40904	60560	2149	60189	30909
5	832.1	1386.9	6009	67696	38357	57383	0	6027	7813	0	32611
6	978.3	958.2	47595	39179	23844	40842	28511	53375	0	63420	10618
7	1194.1	750.1	36455	28133	54554	12220	73181	48187	64794	0	40715
8	673.3	337.8	8087	5394	12051	22529	60945	0	33142	29650	19716
9	372.5	798	62096	16935	0	16853	0	50816	0	0	68234
10	1426.6	500.7	37797	0	0	60629	32504	23873	9770	0	64819
11	312.1	516.1	66864	0	73281	16616	43825	47881	46773	0	0
12	38.4	131	2328	37155	15478	65575	0	0	0	14314	55847
13	807.6	313.4	0	32385	41250	4025	61465	54801	0	0	0
14	950.1	220	0	0	9916	16966	32780	0	16819	27225	60769
15	1071.4	74.9	4855	49322	62196	69366	19194	0	41428	65034	36008
16	1023	898.3	57411	60874	0	54809	0	17391	38442	0	6901
17	1477.4	437.6	53717	30076	0	18857	13984	20551	69728	70330	6436
18	1441.4	1338.4	61536	43971	0	31216	29614	0	41937	0	1839
19	1315.8	133.1	1445	40716	8217	9724	62916	0	70462	9774	25016
20	1171.3	1042.1	56421	29928	23119	8270	73408	46190	22983	67972	831
21	1052.4	417.3	64832	25142	74505	0	18903	57737	46181	40726	14203
22	477.6	699.3	71417	13699	0	0	36612	0	43906	0	38074
23	977.9	1209.1	6181	44680	0	21320	42551	55370	73146	0	32557
24	43.5	38.1	26878	0	0	22448	0	35699	57198	0	51599
25	884.5	488.2	0	43143	12308	0	52000	44544	11872	27790	41132
26	945.6	321	19858	0	43179	33834	64396	5965	0	0	0
27	237.8	326.7	17799	54480	0	50722	61602	0	3175	22411	9472
28	118.6	1335.8	45452	1499	0	25473	0	12357	72587	23326	41167
29	1261.5	1423.8	37394	0	20581	0	44932	60928	60551	33257	7366
30	1252.5	157.5	23060	14433	16626	1613	27734	0	653	0	19082
31	445	131	27417	68562	0	70473	38598	0	8157	51047	6482
32	644.5	589.1	0	0	67507	42807	69241	64449	0	41378	42360
33	825.5	1013	23646	59674	70054	54692	47468	4112	0	33001	0
34	691.4	164.2	40936	55479	28995	0	0	19526	0	33188	46961
35	83.3	1449.3	0	5319	55165	62318	0	18938	65476	2955	48816
36	617.5	1070.5	17109	9179	16768	33777	39929	20310	0	44417	72891
37	785.8	960.5	0	0	0	36531	0	0	0	26854	0
38	1281.3	1241	62328	0	15811	17353	56116	57326	71637	6396	41557
39	521.8	518.4	41541	38651	18308	53345	0	49510	0	12457	0
40	84.6	776.4	18608	5908	14868	0	46710	50250	69396	15503	13137
41	1413.3	1429.9	35837	0	6681	67503	35321	0	21477	11391	0
42	152.1	1340	0	0	13703	32031	22718	31156	20952	42788	0
