# fa587d80-e3f5-4941-9d73-a3ed78f302e4
12	9	8	122	43
0.0	168.4	116.5	152.2	148.3	109.1	175.4	183.4	155.2	115.7	147.1	134.8
112.3	0.0	174.9	88.2	89.9	192.8	196.7	142.6	157.6	101.6	171.3	44.9
60.9	113.5	0.0	86.9	175.0	148.6	90.1	145.2	100.7	24.1	180.0	92.3
87.8	47.8	21.4	0.0	122.7	94.0	73.5	107.5	143.3	68.7	173.4	148.8
65.9	32.6	128.0	160.1	0.0	129.7	100.1	128.0	143.2	133.8	167.8	192.9
96.6	95.2	180.0	81.9	114.2	0.0	62.4	68.0	110.6	167.5	142.6	151.7
26.9	62.7	135.4	197.6	135.0	190.9	0.0	151.1	113.8	22.8	18.4	85.1
113.0	108.9	19.1	30.3	52.2	181.8	63.4	0.0	192.2	175.0	19.1	70.9
43.5	105.0	21.8	186.8	75.7	175.2	85.7	77.0	0.0	146.4	64.9	84.0
118.6	58.7	133.7	117.8	187.0	18.2	159.8	105.4	70.4	0.0	34.4	19.0
185.7	111.3	43.7	134.6	53.4	99.7	181.9	141.6	112.9	154.6	0.0	107.3
38.1	160.7	109.4	117.9	104.2	166.1	28.4	25.9	121.6	175.3	182.6	0.0
1	17286	2	8
2	72134	8	5
3	25297	4	6
4	17000	1	12
5	42753	7	6
6	36872	7	6
7	61359	8	4
8	75880	7	5
9	54960	4	5
10	69388	6	10
11	62424	8	12
12	28695	4	6
13	22698	3	4
14	73673	8	9
15	53771	1	12
16	16360	1	7
17	24860	3	9
18	51923	1	4
19	60448	2	11
20	36443	6	12
21	32576	4	12
22	35871	6	8
23	57377	6	10
24	31695	2	9
25	63811	7	9
26	56716	8	12
27	17403	2	10
28	55185	5	9
29	69675	3	7
30	31833	2	3
31	32753	1	8
32	18011	3	11
33	13240	3	4
34	58485	4	10
35	30872	5	9
36	30310	4	1
37	45020	7	12
38	60617	2	3
39	27281	1	1
40	75981	3	12
41	24207	6	12
42	79942	5	1
43	44146	7	9
1	506	608	640646	480081	481551	465718	690589	492363	601839	561735	630208	532605	817906	589734
2	436	532	744454	817525	674860	752518	800609	596100	542294	750211	769077	519413	909327	576883
3	977	1279	567079	549439	644845	707589	752797	598630	831339	813996	624614	764493	731670	628845
4	850	4	733807	455900	800281	742179	480578	618302	725088	495670	419814	590663	558213	475270
5	508	1296	513334	769413	797726	582801	847300	711255	749661	814837	435536	651245	865151	593405
6	443	814	632223	520681	459582	712090	880243	467621	763398	706391	517768	531532	721443	628987
7	793	1447	528079	824730	448649	811692	646857	554875	534296	681341	789752	601163	889453	670444
8	32	1187	595840	695181	802608	578228	742950	476286	652165	674024	688082	640823	872784	490931
9	842	1024	527559	721750	735439	507869	786592	845368	828563	788409	495510	669590	955084	660430
1.0	337.2	685.3
2.0	187.3	223.0
3.0	1127.2	1007.9
4.0	782.7	1341.7
5.0	411.4	670.0
6.0	973.5	1325.9
7.0	984.3	920.5
8.0	215.5	874.8
1	1247	1103	0	38698	33010	20472	26030	20326	9467	0	0	0	5427	1867
2	449	350	21533	9926	67680	0	0	69238	65575	13597	2338	3179	14586	33948
3	1258	1001	0	67812	1299	27512	17318	12485	17768	51278	0	0	50494	0
4	57	941	33582	14486	14550	38075	64768	24424	0	0	57360	65965	42880	56877
5	285	359	0	0	74184	0	7467	16864	42874	42222	0	9918	2454	47807
6	119	1035	9287	22765	28856	36539	0	25143	74800	0	12931	13353	17744	4495
7	30	1275	0	16006	61316	0	0	0	71824	0	0	71707	65927	0
8	474	618	61252	48746	0	31691	24402	31479	32826	54831	24018	31169	45646	18767
9	212	1233	69381	0	36901	21785	0	0	47587	60851	65989	0	52976	65659
10	1472	1336	0	0	0	37623	25351	0	0	0	54106	0	0	32488
11	284	76	66875	14990	0	0	0	40351	0	69142	43583	53145	49294	48372
12	1323	1457	0	39960	0	74048	46586	13313	0	0	0	70767	0	13791
13	1364	1308	61920	7234	0	9434	0	22359	8433	59199	31509	0	0	0
